,Country Name,Country Code_x,Indicator Name,Region,Income_Group,Sexo_o_clase,Edad,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
294,Armenia,ARM,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso mediano alto,Hombre,7 a 14 años,,,,,,,,,,,12.0,,,,,,,,,,
295,Armenia,ARM,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso mediano alto,Mujer,7 a 14 años,,,,,,,,,,,7.5,,,,,,,,,,
321,Samoa Americana,ASM,Porcentaje de niños economicamente activos,Asia oriental y el Pacífico,Ingreso mediano alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
328,Samoa Americana,ASM,Porcentaje de niños economicamente activos,Asia oriental y el Pacífico,Ingreso mediano alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
329,Samoa Americana,ASM,Porcentaje de niños economicamente activos,Asia oriental y el Pacífico,Ingreso mediano alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
355,Antigua y Barbuda,ATG,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
362,Antigua y Barbuda,ATG,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
363,Antigua y Barbuda,ATG,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
389,Australia,AUS,Porcentaje de niños economicamente activos,Oceanía,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
396,Australia,AUS,Porcentaje de niños economicamente activos,Oceanía,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
397,Australia,AUS,Porcentaje de niños economicamente activos,Oceanía,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
423,Austria,AUT,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
430,Austria,AUT,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
431,Austria,AUT,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
457,Azerbaiyán,AZE,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso mediano alto,Hombre y Mujer,7 a 14 años,9.729839,,,,,5.2,,,,,,,,,,,,,,,
464,Azerbaiyán,AZE,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso mediano alto,Hombre,7 a 14 años,12.01427,,,,,5.8,,,,,,,,,,,,,,,
465,Azerbaiyán,AZE,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso mediano alto,Mujer,7 a 14 años,7.330279,,,,,4.5,,,,,,,,,,,,,,,
491,Burundi,BDI,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso bajo,Hombre y Mujer,7 a 14 años,36.96453,,,,,11.7,,,,,31.9,,,,,,,,,,
498,Burundi,BDI,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso bajo,Hombre,7 a 14 años,38.38014,,,,,12.5,,,,,31.3,,,,,,,,,,
499,Burundi,BDI,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso bajo,Mujer,7 a 14 años,35.67728,,,,,11.0,,,,,32.4,,,,,,,,,,
525,Bélgica,BEL,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
532,Bélgica,BEL,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
533,Bélgica,BEL,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
559,Benin,BEN,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso mediano bajo,Hombre y Mujer,7 a 14 años,,,,,,,74.4,,,,,,24.1,,,,,,,,
566,Benin,BEN,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso mediano bajo,Hombre,7 a 14 años,,,,,,,72.8,,,,,,24.4,,,,,,,,
567,Benin,BEN,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso mediano bajo,Mujer,7 a 14 años,,,,,,,76.1,,,,,,23.7,,,,,,,,
593,Burkina Faso,BFA,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso bajo,Hombre y Mujer,7 a 14 años,,,,50.0,,,42.1,,,,50.3,,,,,,,,,,
600,Burkina Faso,BFA,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso bajo,Hombre,7 a 14 años,,,,49.0,,,49.0,,,,55.6,,,,,,,,,,
601,Burkina Faso,BFA,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso bajo,Mujer,7 a 14 años,,,,51.0,,,34.5,,,,44.8,,,,,,,,,,
661,Bulgaria,BGR,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso mediano alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
668,Bulgaria,BGR,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso mediano alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
669,Bulgaria,BGR,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso mediano alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
695,Bahrein,BHR,Porcentaje de niños economicamente activos,Oriente Medio y Norte de África,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
702,Bahrein,BHR,Porcentaje de niños economicamente activos,Oriente Medio y Norte de África,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
703,Bahrein,BHR,Porcentaje de niños economicamente activos,Oriente Medio y Norte de África,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
729,Bahamas,BHS,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
736,Bahamas,BHS,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
737,Bahamas,BHS,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
763,Bosnia y Herzegovina,BIH,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso mediano alto,Hombre y Mujer,7 a 14 años,20.2,,,,,,10.6,,,,,,,,,,,,,,
770,Bosnia y Herzegovina,BIH,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso mediano alto,Hombre,7 a 14 años,22.8,,,,,,11.7,,,,,,,,,,,,,,
771,Bosnia y Herzegovina,BIH,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso mediano alto,Mujer,7 a 14 años,17.6,,,,,,9.5,,,,,,,,,,,,,,
797,Belarús,BLR,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso mediano alto,Hombre y Mujer,7 a 14 años,,,,,,11.7,,,,,,,2.3,,,,,,,,
804,Belarús,BLR,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso mediano alto,Hombre,7 a 14 años,,,,,,12.1,,,,,,,2.0,,,,,,,,
805,Belarús,BLR,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso mediano alto,Mujer,7 a 14 años,,,,,,11.2,,,,,,,2.6,,,,,,,,
831,Belice,BLZ,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano bajo,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
838,Belice,BLZ,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano bajo,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
839,Belice,BLZ,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano bajo,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
865,Bermudas,BMU,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
872,Bermudas,BMU,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
873,Bermudas,BMU,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
899,Bolivia,BOL,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano bajo,Hombre y Mujer,7 a 14 años,,,23.2,,,22.0,,,32.1,20.2,,,,20.20834,,13.92,,,,,
906,Bolivia,BOL,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano bajo,Hombre,7 a 14 años,,,24.0,,,23.9,,,33.0,21.8,,,,19.89117,,15.19,,,,,
907,Bolivia,BOL,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano bajo,Mujer,7 a 14 años,,,22.5,,,20.1,,,31.1,18.4,,,,20.52219,,12.59,,,,,
933,Brasil,BRA,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano alto,Hombre y Mujer,7 a 14 años,,,,,7.0,,,6.1,5.2,5.0,,4.2,,3.215266,3.5326490334317,2.54,,,,,
940,Brasil,BRA,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano alto,Hombre,7 a 14 años,,,,,9.4,,,8.1,6.9,6.6,,5.75,,4.297545,4.7786048224251,3.52,,,,,
941,Brasil,BRA,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano alto,Mujer,7 a 14 años,,,,,4.60644,,,4.0,3.5,3.3,,2.59,,2.071282,2.2096160917822,1.53,,,,,
967,Barbados,BRB,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
974,Barbados,BRB,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
975,Barbados,BRB,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1069,Botswana,BWA,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso mediano alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1076,Botswana,BWA,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso mediano alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1077,Botswana,BWA,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso mediano alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1103,República Centroafricana,CAF,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso bajo,Hombre y Mujer,7 a 14 años,67.0,,,,,,,,,,37.2,,,,,,,,,,
1110,República Centroafricana,CAF,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso bajo,Hombre,7 a 14 años,66.5,,,,,,,,,,36.6,,,,,,,,,,
1111,República Centroafricana,CAF,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso bajo,Mujer,7 a 14 años,67.6,,,,,,,,,,37.9,,,,,,,,,,
1137,Canadá,CAN,Porcentaje de niños economicamente activos,America del Norte,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1144,Canadá,CAN,Porcentaje de niños economicamente activos,America del Norte,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1145,Canadá,CAN,Porcentaje de niños economicamente activos,America del Norte,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1205,Suiza,CHE,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1212,Suiza,CHE,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1213,Suiza,CHE,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1239,Islas del Canal,CHI,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1246,Islas del Canal,CHI,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1247,Islas del Canal,CHI,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1273,Chile,CHL,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,4.1,,,,,,,,,4.5,,,,,,,,
1280,Chile,CHL,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre,7 a 14 años,,,,5.1,,,,,,,,,6.2,,,,,,,,
1281,Chile,CHL,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Mujer,7 a 14 años,,,,3.1,,,,,,,,,2.8,,,,,,,,
1307,China,CHN,Porcentaje de niños economicamente activos,Asia oriental y el Pacífico,Ingreso mediano alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1314,China,CHN,Porcentaje de niños economicamente activos,Asia oriental y el Pacífico,Ingreso mediano alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1315,China,CHN,Porcentaje de niños economicamente activos,Asia oriental y el Pacífico,Ingreso mediano alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1341,Côte d'Ivoire,CIV,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso mediano bajo,Hombre y Mujer,7 a 14 años,40.7,,,,,,45.7,,,,,,36.5,,,,,,,,
1348,Côte d'Ivoire,CIV,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso mediano bajo,Hombre,7 a 14 años,40.9,,,,,,47.7,,,,,,36.6,,,,,,,,
1349,Côte d'Ivoire,CIV,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso mediano bajo,Mujer,7 a 14 años,40.5,,,,,,43.6,,,,,,36.4,,,,,,,,
1375,Camerún,CMR,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso mediano bajo,Hombre y Mujer,7 a 14 años,,15.9114,,,,,,43.4,,,,62.0,,,,,,,,,
1382,Camerún,CMR,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso mediano bajo,Hombre,7 a 14 años,,14.46574,,,,,,43.5,,,,63.6,,,,,,,,,
1383,Camerún,CMR,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso mediano bajo,Mujer,7 a 14 años,,17.40652,,,,,,43.4,,,,60.4,,,,,,,,,
1409,"Congo, República Democrática del",COD,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso bajo,Hombre y Mujer,7 a 14 años,39.8,,,,,,,30.5,,,20.5,,,,41.391428539747,,,,,,
1416,"Congo, República Democrática del",COD,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso bajo,Hombre,7 a 14 años,39.9,,,,,,,29.5,,,19.5,,,,39.156320583922,,,,,,
1417,"Congo, República Democrática del",COD,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso bajo,Mujer,7 a 14 años,39.8,,,,,,,31.5,,,21.4,,,,43.608495973072,,,,,,
1443,"Congo, República del",COG,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso mediano bajo,Hombre y Mujer,7 a 14 años,,,,,,30.06,,,,,,,31.5,,,,,,,,
1450,"Congo, República del",COG,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso mediano bajo,Hombre,7 a 14 años,,,,,,29.9,,,,,,,31.4,,,,,,,,
1451,"Congo, República del",COG,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso mediano bajo,Mujer,7 a 14 años,,,,,,30.183,,,,,,,31.6,,,,,,,,
1477,Colombia,COL,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano alto,Hombre y Mujer,7 a 14 años,,,,,,4.0,,3.9,,6.44,,,7.2,,6.619165,5.56,,,,,
1484,Colombia,COL,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano alto,Hombre,7 a 14 años,,,,,,6.2,,5.3,,8.29,,,9.5,,8.569861,6.92,,,,,
1485,Colombia,COL,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano alto,Mujer,7 a 14 años,,,,,,1.8,,2.3,,4.39,,,4.7,,4.455055,4.1,,,,,
1511,Comoras,COM,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso mediano bajo,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1518,Comoras,COM,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso mediano bajo,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1519,Comoras,COM,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso mediano bajo,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1545,Cabo Verde,CPV,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso mediano bajo,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1552,Cabo Verde,CPV,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso mediano bajo,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1553,Cabo Verde,CPV,Porcentaje de niños economicamente activos,África al sur del Sahara,Ingreso mediano bajo,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1579,Costa Rica,CRI,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano alto,Hombre y Mujer,7 a 14 años,,,,,5.7,,,,,,,2.5,,,,,1.31,,,,
1586,Costa Rica,CRI,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano alto,Hombre,7 a 14 años,,,,,8.1,,,,,,,3.4,,,,,1.94,,,,
1587,Costa Rica,CRI,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano alto,Mujer,7 a 14 años,,,,,3.5,,,,,,,1.6,,,,,0.63,,,,
1647,Cuba,CUB,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1654,Cuba,CUB,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1655,Cuba,CUB,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1715,Islas Caimán,CYM,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1722,Islas Caimán,CYM,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1723,Islas Caimán,CYM,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1749,Chipre,CYP,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1756,Chipre,CYP,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1757,Chipre,CYP,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1783,República Checa,CZE,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1790,República Checa,CZE,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1791,República Checa,CZE,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1817,Alemania,DEU,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1824,Alemania,DEU,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1825,Alemania,DEU,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1851,Djibouti,DJI,Porcentaje de niños economicamente activos,Oriente Medio y Norte de África,Ingreso mediano bajo,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1858,Djibouti,DJI,Porcentaje de niños economicamente activos,Oriente Medio y Norte de África,Ingreso mediano bajo,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1859,Djibouti,DJI,Porcentaje de niños economicamente activos,Oriente Medio y Norte de África,Ingreso mediano bajo,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1885,Dominica,DMA,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1892,Dominica,DMA,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1893,Dominica,DMA,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1919,Dinamarca,DNK,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1926,Dinamarca,DNK,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1927,Dinamarca,DNK,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,
1953,República Dominicana,DOM,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano alto,Hombre y Mujer,7 a 14 años,,,3.5,,,5.8,,,,14.05843,,,2.684442,,13.196593457211,,,,,,
1960,República Dominicana,DOM,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano alto,Hombre,7 a 14 años,,,5.9,,,9.0,,,,19.85296,,,3.854917,,15.713939026296,,,,,,
1961,República Dominicana,DOM,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano alto,Mujer,7 a 14 años,,,0.9,,,2.7,,,,7.873248,,,1.405777,,10.316032966088,,,,,,
1987,Argelia,DZA,Porcentaje de niños economicamente activos,Oriente Medio y Norte de África,Ingreso mediano bajo,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,7.5007636979978,,,,,,,
1994,Argelia,DZA,Porcentaje de niños economicamente activos,Oriente Medio y Norte de África,Ingreso mediano bajo,Hombre,7 a 14 años,,,,,,,,,,,,,,8.4668352460352,,,,,,,
1995,Argelia,DZA,Porcentaje de niños economicamente activos,Oriente Medio y Norte de África,Ingreso mediano bajo,Mujer,7 a 14 años,,,,,,,,,,,,,,6.4895522127262,,,,,,,
2191,Ecuador,ECU,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso mediano alto,Hombre y Mujer,7 a 14 años,,,,,12.0,,14.3,,,6.3,,3.2,,,,5.562005,,,,,
