,Country Name,Country Code_x,Indicator Name,Region,Income_Group,Sexo_o_clase,Edad,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,id,lon,lat
12,Albania,ALB,Porcentaje de niños economicamente activos,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto,Mujer,7 a 14 años,31.84332,,,,,18.8,,,,,4.6,,,,,,,,,,,ALB,20.04905,41.14278
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALD,19.95104,60.21468
14,Andorra,AND,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,AND,1.559203,42.5421
15,Andorra,AND,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,AND,1.559203,42.5421
16,Andorra,AND,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,AND,1.559203,42.5421
17,Emiratos Árabes Unidos,ARE,Porcentaje de niños economicamente activos,Oriente Medio y Norte de África,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,ARE,54.29948,23.90512
18,Emiratos Árabes Unidos,ARE,Porcentaje de niños economicamente activos,Oriente Medio y Norte de África,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,ARE,54.29948,23.90512
19,Emiratos Árabes Unidos,ARE,Porcentaje de niños economicamente activos,Oriente Medio y Norte de África,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,ARE,54.29948,23.90512
20,Argentina,ARG,Porcentaje de niños economicamente activos,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,Hombre y Mujer,7 a 14 años,,,,,12.9,,,,,,,,5.025251,,,,,,,,,ARG,-65.17909,-35.38133
21,Argentina,ARG,Porcentaje de niños economicamente activos,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,Hombre,7 a 14 años,,,,,15.7,,,,,,,,6.394649,,,,,,,,,ARG,-65.17909,-35.38133
22,Argentina,ARG,Porcentaje de niños economicamente activos,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,Mujer,7 a 14 años,,,,,9.8,,,,,,,,3.486703,,,,,,,,,ARG,-65.17909,-35.38133
23,Armenia,ARM,Porcentaje de niños economicamente activos,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,9.9,,,,,,,,,,,ARM,44.92912,40.28975
24,Armenia,ARM,Porcentaje de niños economicamente activos,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto,Hombre,7 a 14 años,,,,,,,,,,,12.0,,,,,,,,,,,ARM,44.92912,40.28975
25,Armenia,ARM,Porcentaje de niños economicamente activos,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto,Mujer,7 a 14 años,,,,,,,,,,,7.5,,,,,,,,,,,ARM,44.92912,40.28975
26,Samoa Americana,ASM,Porcentaje de niños economicamente activos,Asia oriental y el Pacífico (excluido altos ingresos),Ingreso mediano alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,ASM,-170.7179,-14.30502
27,Samoa Americana,ASM,Porcentaje de niños economicamente activos,Asia oriental y el Pacífico (excluido altos ingresos),Ingreso mediano alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,ASM,-170.7179,-14.30502
28,Samoa Americana,ASM,Porcentaje de niños economicamente activos,Asia oriental y el Pacífico (excluido altos ingresos),Ingreso mediano alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,ASM,-170.7179,-14.30502
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATC,123.5839,-12.43028
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATF,69.22351,-49.24875
31,Antigua y Barbuda,ATG,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,ATG,-61.79396,17.28067
32,Antigua y Barbuda,ATG,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,ATG,-61.79396,17.28067
33,Antigua y Barbuda,ATG,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,ATG,-61.79396,17.28067
34,Australia,AUS,Porcentaje de niños economicamente activos,Oceanía,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,AUS,134.491,-25.73295
35,Australia,AUS,Porcentaje de niños economicamente activos,Oceanía,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,AUS,134.491,-25.73295
36,Australia,AUS,Porcentaje de niños economicamente activos,Oceanía,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,AUS,134.491,-25.73295
37,Austria,AUT,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,AUT,14.12571,47.58558
38,Austria,AUT,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,AUT,14.12571,47.58558
39,Austria,AUT,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,AUT,14.12571,47.58558
40,Azerbaiyán,AZE,Porcentaje de niños economicamente activos,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto,Hombre y Mujer,7 a 14 años,9.729839,,,,,5.2,,,,,,,,,,,,,,,,AZE,47.54525,40.2886
41,Azerbaiyán,AZE,Porcentaje de niños economicamente activos,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto,Hombre,7 a 14 años,12.01427,,,,,5.8,,,,,,,,,,,,,,,,AZE,47.54525,40.2886
42,Azerbaiyán,AZE,Porcentaje de niños economicamente activos,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto,Mujer,7 a 14 años,7.330279,,,,,4.5,,,,,,,,,,,,,,,,AZE,47.54525,40.2886
43,Burundi,BDI,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo,Hombre y Mujer,7 a 14 años,36.96453,,,,,11.7,,,,,31.9,,,,,,,,,,,BDI,29.87436,-3.359409
44,Burundi,BDI,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo,Hombre,7 a 14 años,38.38014,,,,,12.5,,,,,31.3,,,,,,,,,,,BDI,29.87436,-3.359409
45,Burundi,BDI,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo,Mujer,7 a 14 años,35.67728,,,,,11.0,,,,,32.4,,,,,,,,,,,BDI,29.87436,-3.359409
46,Bélgica,BEL,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BEL,4.639495,50.63975
47,Bélgica,BEL,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BEL,4.639495,50.63975
48,Bélgica,BEL,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BEL,4.639495,50.63975
49,Benin,BEN,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo,Hombre y Mujer,7 a 14 años,,,,,,,74.4,,,,,,24.1,,,,,,,,,BEN,2.32703,9.642568
50,Benin,BEN,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo,Hombre,7 a 14 años,,,,,,,72.8,,,,,,24.4,,,,,,,,,BEN,2.32703,9.642568
51,Benin,BEN,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo,Mujer,7 a 14 años,,,,,,,76.1,,,,,,23.7,,,,,,,,,BEN,2.32703,9.642568
52,Burkina Faso,BFA,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo,Hombre y Mujer,7 a 14 años,,,,50.0,,,42.1,,,,50.3,,,,,,,,,,,BFA,-1.75448,12.26929
53,Burkina Faso,BFA,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo,Hombre,7 a 14 años,,,,49.0,,,49.0,,,,55.6,,,,,,,,,,,BFA,-1.75448,12.26929
54,Burkina Faso,BFA,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo,Mujer,7 a 14 años,,,,51.0,,,34.5,,,,44.8,,,,,,,,,,,BFA,-1.75448,12.26929
55,Bangladesh,BGD,Porcentaje de niños economicamente activos,Asia meridional,Países de ingreso mediano bajo,Hombre y Mujer,7 a 14 años,,,,17.5385033159,,,16.2,,,,,,,5.002084,,,,,,,,BGD,90.23771,23.86685
56,Bangladesh,BGD,Porcentaje de niños economicamente activos,Asia meridional,Países de ingreso mediano bajo,Hombre,7 a 14 años,,,,20.9036756108,,,25.7,,,,,,,5.72861,,,,,,,,BGD,90.23771,23.86685
57,Bangladesh,BGD,Porcentaje de niños economicamente activos,Asia meridional,Países de ingreso mediano bajo,Mujer,7 a 14 años,,,,13.9129715635,,,6.4,,,,,,,4.224495,,,,,,,,BGD,90.23771,23.86685
58,Bulgaria,BGR,Porcentaje de niños economicamente activos,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BGR,25.21456,42.76925
59,Bulgaria,BGR,Porcentaje de niños economicamente activos,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BGR,25.21456,42.76925
60,Bulgaria,BGR,Porcentaje de niños economicamente activos,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BGR,25.21456,42.76925
61,Bahrein,BHR,Porcentaje de niños economicamente activos,Oriente Medio y Norte de África,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BHR,50.54083,26.04205
62,Bahrein,BHR,Porcentaje de niños economicamente activos,Oriente Medio y Norte de África,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BHR,50.54083,26.04205
63,Bahrein,BHR,Porcentaje de niños economicamente activos,Oriente Medio y Norte de África,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BHR,50.54083,26.04205
64,Bahamas,BHS,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BHS,-76.62895,24.29199
65,Bahamas,BHS,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BHS,-76.62895,24.29199
66,Bahamas,BHS,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BHS,-76.62895,24.29199
67,Bosnia y Herzegovina,BIH,Porcentaje de niños economicamente activos,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto,Hombre y Mujer,7 a 14 años,20.2,,,,,,10.6,,,,,,,,,,,,,,,BIH,17.76757,44.17462
68,Bosnia y Herzegovina,BIH,Porcentaje de niños economicamente activos,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto,Hombre,7 a 14 años,22.8,,,,,,11.7,,,,,,,,,,,,,,,BIH,17.76757,44.17462
69,Bosnia y Herzegovina,BIH,Porcentaje de niños economicamente activos,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto,Mujer,7 a 14 años,17.6,,,,,,9.5,,,,,,,,,,,,,,,BIH,17.76757,44.17462
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLM,-62.83981,17.89868
71,Belarús,BLR,Porcentaje de niños economicamente activos,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto,Hombre y Mujer,7 a 14 años,,,,,,11.7,,,,,,,2.3,,,,,,,,,BLR,28.03141,53.53108
72,Belarús,BLR,Porcentaje de niños economicamente activos,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto,Hombre,7 a 14 años,,,,,,12.1,,,,,,,2.0,,,,,,,,,BLR,28.03141,53.53108
73,Belarús,BLR,Porcentaje de niños economicamente activos,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto,Mujer,7 a 14 años,,,,,,11.2,,,,,,,2.6,,,,,,,,,BLR,28.03141,53.53108
74,Belice,BLZ,Porcentaje de niños economicamente activos,América Latina y el Caribe (excluido altos ingresos),Países de ingreso mediano bajo,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BLZ,-88.70973,17.20033
75,Belice,BLZ,Porcentaje de niños economicamente activos,América Latina y el Caribe (excluido altos ingresos),Países de ingreso mediano bajo,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BLZ,-88.70973,17.20033
76,Belice,BLZ,Porcentaje de niños economicamente activos,América Latina y el Caribe (excluido altos ingresos),Países de ingreso mediano bajo,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BLZ,-88.70973,17.20033
77,Bermudas,BMU,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BMU,-64.75438,32.31445
78,Bermudas,BMU,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BMU,-64.75438,32.31445
79,Bermudas,BMU,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BMU,-64.75438,32.31445
80,Bolivia,BOL,Porcentaje de niños economicamente activos,América Latina y el Caribe (excluido altos ingresos),Países de ingreso mediano bajo,Hombre y Mujer,7 a 14 años,,,23.2,,,22.0,,,32.1,20.2,,,,20.20834,,13.92,,,,,,BOL,-64.68476,-16.70815
81,Bolivia,BOL,Porcentaje de niños economicamente activos,América Latina y el Caribe (excluido altos ingresos),Países de ingreso mediano bajo,Hombre,7 a 14 años,,,24.0,,,23.9,,,33.0,21.8,,,,19.89117,,15.19,,,,,,BOL,-64.68476,-16.70815
82,Bolivia,BOL,Porcentaje de niños economicamente activos,América Latina y el Caribe (excluido altos ingresos),Países de ingreso mediano bajo,Mujer,7 a 14 años,,,22.5,,,20.1,,,31.1,18.4,,,,20.52219,,12.59,,,,,,BOL,-64.68476,-16.70815
83,Brasil,BRA,Porcentaje de niños economicamente activos,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,Hombre y Mujer,7 a 14 años,,,,,7.0,,,6.1,5.2,5.0,,4.2,,3.215266,3.5326490334317,2.54,,,,,,BRA,-53.09716,-10.78741
84,Brasil,BRA,Porcentaje de niños economicamente activos,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,Hombre,7 a 14 años,,,,,9.4,,,8.1,6.9,6.6,,5.75,,4.297545,4.7786048224251,3.52,,,,,,BRA,-53.09716,-10.78741
85,Brasil,BRA,Porcentaje de niños economicamente activos,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,Mujer,7 a 14 años,,,,,4.60644,,,4.0,3.5,3.3,,2.59,,2.071282,2.2096160917822,1.53,,,,,,BRA,-53.09716,-10.78741
86,Barbados,BRB,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BRB,-59.55971,13.18209
87,Barbados,BRB,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BRB,-59.55971,13.18209
88,Barbados,BRB,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BRB,-59.55971,13.18209
89,Brunei Darussalam,BRN,Porcentaje de niños economicamente activos,Asia oriental y el pacífico,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BRN,114.7219,4.519735
90,Brunei Darussalam,BRN,Porcentaje de niños economicamente activos,Asia oriental y el pacífico,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BRN,114.7219,4.519735
91,Brunei Darussalam,BRN,Porcentaje de niños economicamente activos,Asia oriental y el pacífico,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BRN,114.7219,4.519735
92,Bhután,BTN,Porcentaje de niños economicamente activos,Asia meridional,Países de ingreso mediano bajo,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BTN,90.40128,27.4106
93,Bhután,BTN,Porcentaje de niños economicamente activos,Asia meridional,Países de ingreso mediano bajo,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BTN,90.40128,27.4106
94,Bhután,BTN,Porcentaje de niños economicamente activos,Asia meridional,Países de ingreso mediano bajo,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BTN,90.40128,27.4106
95,Botswana,BWA,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Ingreso mediano alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BWA,23.79765,-22.18406
96,Botswana,BWA,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Ingreso mediano alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BWA,23.79765,-22.18406
97,Botswana,BWA,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Ingreso mediano alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,BWA,23.79765,-22.18406
98,República Centroafricana,CAF,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo,Hombre y Mujer,7 a 14 años,67.0,,,,,,,,,,37.2,,,,,,,,,,,CAF,20.46734,6.568471
99,República Centroafricana,CAF,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo,Hombre,7 a 14 años,66.5,,,,,,,,,,36.6,,,,,,,,,,,CAF,20.46734,6.568471
100,República Centroafricana,CAF,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo,Mujer,7 a 14 años,67.6,,,,,,,,,,37.9,,,,,,,,,,,CAF,20.46734,6.568471
101,Canadá,CAN,Porcentaje de niños economicamente activos,America del Norte,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,CAN,-98.30727,61.36229
102,Canadá,CAN,Porcentaje de niños economicamente activos,America del Norte,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,CAN,-98.30727,61.36229
103,Canadá,CAN,Porcentaje de niños economicamente activos,America del Norte,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,CAN,-98.30727,61.36229
104,Suiza,CHE,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,CHE,8.207905,46.79784
105,Suiza,CHE,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,CHE,8.207905,46.79784
106,Suiza,CHE,Porcentaje de niños economicamente activos,Europa y Asia central,Ingreso alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,CHE,8.207905,46.79784
107,Chile,CHL,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre y Mujer,7 a 14 años,,,,4.1,,,,,,,,,4.5,,,,,,,,,CHL,-71.38192,-37.73124
108,Chile,CHL,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Hombre,7 a 14 años,,,,5.1,,,,,,,,,6.2,,,,,,,,,CHL,-71.38192,-37.73124
109,Chile,CHL,Porcentaje de niños economicamente activos,America Latina y el Caribe,Ingreso alto,Mujer,7 a 14 años,,,,3.1,,,,,,,,,2.8,,,,,,,,,CHL,-71.38192,-37.73124
110,China,CHN,Porcentaje de niños economicamente activos,Asia oriental y el Pacífico (excluido altos ingresos),Ingreso mediano alto,Hombre y Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,CHN,103.8183,36.56161
111,China,CHN,Porcentaje de niños economicamente activos,Asia oriental y el Pacífico (excluido altos ingresos),Ingreso mediano alto,Hombre,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,CHN,103.8183,36.56161
112,China,CHN,Porcentaje de niños economicamente activos,Asia oriental y el Pacífico (excluido altos ingresos),Ingreso mediano alto,Mujer,7 a 14 años,,,,,,,,,,,,,,,,,,,,,,CHN,103.8183,36.56161
113,Côte d'Ivoire,CIV,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo,Hombre y Mujer,7 a 14 años,40.7,,,,,,45.7,,,,,,36.5,,,,,,,,,CIV,-5.568399,7.628679
114,Côte d'Ivoire,CIV,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo,Hombre,7 a 14 años,40.9,,,,,,47.7,,,,,,36.6,,,,,,,,,CIV,-5.568399,7.628679
115,Côte d'Ivoire,CIV,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo,Mujer,7 a 14 años,40.5,,,,,,43.6,,,,,,36.4,,,,,,,,,CIV,-5.568399,7.628679
116,Camerún,CMR,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo,Hombre y Mujer,7 a 14 años,,15.9114,,,,,,43.4,,,,62.0,,,,,,,,,,CMR,12.73871,5.691472
117,Camerún,CMR,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo,Hombre,7 a 14 años,,14.46574,,,,,,43.5,,,,63.6,,,,,,,,,,CMR,12.73871,5.691472
118,Camerún,CMR,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo,Mujer,7 a 14 años,,17.40652,,,,,,43.4,,,,60.4,,,,,,,,,,CMR,12.73871,5.691472
119,"Congo, República Democrática del",COD,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo,Hombre y Mujer,7 a 14 años,39.8,,,,,,,30.5,,,20.5,,,,41.391428539747,,,,,,,COD,23.64301,-2.877537
120,"Congo, República Democrática del",COD,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo,Hombre,7 a 14 años,39.9,,,,,,,29.5,,,19.5,,,,39.156320583922,,,,,,,COD,23.64301,-2.877537
121,"Congo, República Democrática del",COD,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo,Mujer,7 a 14 años,39.8,,,,,,,31.5,,,21.4,,,,43.608495973072,,,,,,,COD,23.64301,-2.877537
122,"Congo, República del",COG,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo,Hombre y Mujer,7 a 14 años,,,,,,30.06,,,,,,,31.5,,,,,,,,,COG,15.21867,-0.8379947
123,"Congo, República del",COG,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo,Hombre,7 a 14 años,,,,,,29.9,,,,,,,31.4,,,,,,,,,COG,15.21867,-0.8379947
124,"Congo, República del",COG,Porcentaje de niños economicamente activos,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo,Mujer,7 a 14 años,,,,,,30.183,,,,,,,31.6,,,,,,,,,COG,15.21867,-0.8379947
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COK,-159.7871,-21.21887
126,Colombia,COL,Porcentaje de niños economicamente activos,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,Hombre y Mujer,7 a 14 años,,,,,,4.0,,3.9,,6.44,,,7.2,,6.619165,5.56,,,,,,COL,-73.08039,3.914004
127,Colombia,COL,Porcentaje de niños economicamente activos,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,Hombre,7 a 14 años,,,,,,6.2,,5.3,,8.29,,,9.5,,8.569861,6.92,,,,,,COL,-73.08039,3.914004
128,Colombia,COL,Porcentaje de niños economicamente activos,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto,Mujer,7 a 14 años,,,,,,1.8,,2.3,,4.39,,,4.7,,4.455055,4.1,,,,,,COL,-73.08039,3.914004
